Ticket_ID,Sequence_Phase,Sequence_Order,Track,Title,Priority,Estimate_Days,Depends_On,Primary_Output,Acceptance_Criteria
TPA-PM3-001,VERTICAL_SLICE_FIRST,1,Foundation,Project skeleton + module boundaries + service seams,P0,1,,"Unity project scaffold; Assets/Game scripts split into Core/Combat/Puzzle/AI/Networking/UI/Progression/Save; interface seams (INetworkRuntime, ISaveService, IAnalyticsSink)","Assemblies compile; no cross-module circular references; third-party assets wrapped (not edited directly); architecture decision log checked in"
TPA-PM3-002,VERTICAL_SLICE_FIRST,2,Foundation,Networking bootstrap (NGO + UTP + Lobby + Relay) with host-authoritative loop,P0,2,TPA-PM3-001,"Playable host/client connection path with host-owned simulation tick","2-player session can create/join/launch gameplay scene; non-host cannot mutate authoritative puzzle/combat state; disconnect path returns players to safe menu"
TPA-PM3-003,VERTICAL_SLICE_FIRST,3,Combat,Fixed-arc shooting + tank locomotion (Blue/Green baseline) + client-side aim preview,P0,2,TPA-PM3-001|TPA-PM3-002,"Tank controller, fire charge bands (tap/hold/lob), ScriptableObject weapon profiles","Both tanks controllable in networked play; host resolves projectile impacts; client preview matches host outcomes within accepted tolerance"
TPA-PM3-004,VERTICAL_SLICE_FIRST,4,Puzzle,Authoritative destructibles/ramps/puzzle triggers + deterministic event IDs,P0,2,TPA-PM3-003,"Destructible state machine and trigger graph with TickId/EventId tagging","Puzzle-critical state is host authoritative and replicated; joined clients see identical state; debug log contains TickId/EventId for each mutation"
TPA-PM3-005,VERTICAL_SLICE_FIRST,5,Gameplay Systems,Pickups + power-ups (health/mystery baseline) with seeded RNG,P1,1,TPA-PM3-004,"Networked pickup spawner and consumable effect handlers","Pickup claims are race-safe; mystery outcomes are host-seeded and deterministic per match seed"
TPA-PM3-006,VERTICAL_SLICE_FIRST,6,AI,Enemy AI slice (Scout/Bruiser/Sniper) using FSM + utility scoring,P0,2,TPA-PM3-004,"AI controllers + blackboard + telegraph VFX hooks","Each enemy archetype exhibits distinct behavior and readable telegraphs; no puzzle-state desync under AI interactions"
TPA-PM3-007,VERTICAL_SLICE_FIRST,7,Content,Map 1 nodes 1-3 built as teach-through-play encounters,P0,2,TPA-PM3-003|TPA-PM3-004|TPA-PM3-006,"Playable scenes/prefabs for 1-1 to 1-3 with objective scripting","Arc learning and destructible sequencing are completable solo and co-op; retries under 2 seconds from checkpoint"
TPA-PM3-008,VERTICAL_SLICE_FIRST,8,Content,Map 1 nodes 1-4 complete + node 1-5 boss (vertical-slice boss version),P0,3,TPA-PM3-007,"Boss encounter phase logic + map completion flow","Map 1 full 5-node arc playable end-to-end; boss has telegraphed phases and no unavoidable one-shot without warning"
TPA-PM3-009,VERTICAL_SLICE_FIRST,9,Progression,Node map progression + stars + save pipeline (local JSON),P0,2,TPA-PM3-007,"World map UI, star scoring, unlock rules, save/load","Stars persist across sessions; unlock rules enforced (>=1 star to advance); corruption-safe fallback save path exists"
TPA-PM3-010,VERTICAL_SLICE_FIRST,10,UX,Minimum shippable UI flow (Boot/Main/Mode/Tank Select/HUD/Pause/Results/Settings-lite),P1,2,TPA-PM3-002|TPA-PM3-003|TPA-PM3-009,"Connected menu scenes and input navigation for KBM/gamepad/touch baseline","User can complete full loop from app launch to results and back to map without dead-ends; basic settings persist"
TPA-PM3-011,VERTICAL_SLICE_FIRST,11,Quality,Instrumentation + desync diagnostics + perf budgets for Web/mobile/Xbox profiles,P0,1,TPA-PM3-004|TPA-PM3-010,"Lightweight telemetry events; periodic debug state hash; quality-tier config assets","Can compare host/client hash in debug builds; perf profile presets selectable; top 5 gameplay events logged"
TPA-PM3-012,VERTICAL_SLICE_FIRST,12,Milestone,Vertical slice stabilization gate (P0/P1 burn-down + playtest sanity),P0,2,TPA-PM3-005|TPA-PM3-006|TPA-PM3-008|TPA-PM3-009|TPA-PM3-010|TPA-PM3-011,"Vertical-slice release candidate for Map 1","2-player co-op Map 1 clear is repeatable; no open P0 and no blocker-level P1 in slice scope; go/no-go notes captured"
TPA-PM3-013,HARDENING,1,Content,Map 2 production pass (nodes 2-1..2-5 + boss),P0,4,TPA-PM3-012,"Full Map 2 content integrated into progression","All 5 nodes playable with intended enemy/puzzle cadence; star targets tuned to design bands"
TPA-PM3-014,HARDENING,2,Content,Map 3 production pass (nodes 3-1..3-5 + final boss),P0,5,TPA-PM3-013,"Full Map 3 content and final boss phases","Campaign reaches 15-node completion with difficulty ramp and final boss clear path"
TPA-PM3-015,HARDENING,3,Accessibility,Settings hardening (rebinds, contrast modes, UI scale, subtitle and assist options),P1,2,TPA-PM3-010,"Accessibility-complete settings UX and persistence","All v1 accessibility toggles/options from PRD implemented and saved per profile"
TPA-PM3-016,HARDENING,4,Platform,Platform polish for Web/mobile/Xbox (input presets, quality tiers, cert-sensitive flows),P0,3,TPA-PM3-011|TPA-PM3-015,"Platform-specific control defaults and compliance checklist pass","Smoke tests pass on all target platforms; pause/session error handling meets platform expectations"
TPA-PM3-017,HARDENING,5,Networking,Network resilience pass (latency handling, rejoin UX, host-leave behavior, validation audits),P0,3,TPA-PM3-012,"Resilience features and hostile-client validation rules","No critical progression loss on disconnect/rejoin path; host disconnect ends gracefully with clear recovery messaging"
TPA-PM3-018,HARDENING,6,Progression,Cloud-ready save abstraction + balance data externalization (ScriptableObject tuning packs),P1,2,TPA-PM3-009|TPA-PM3-015,"ISaveService cloud-ready seam and data-driven balance catalogs","Save provider swap requires no gameplay refactor; balance values editable without code changes"
TPA-PM3-019,HARDENING,7,Presentation,Audio/VFX optimization pass with pooling and readability tuning,P1,2,TPA-PM3-014|TPA-PM3-016,"Optimized feedback layers per quality tier","Combat readability remains clear while meeting frame budgets on low-tier profiles"
TPA-PM3-020,HARDENING,8,QA,Automated regression suite (puzzle-state sync, progression unlocks, scoring integrity),P0,2,TPA-PM3-017|TPA-PM3-018,"PlayMode/Integration tests + nightly sanity checklist","Core regression suite catches desync/unlock/score regressions before release branch cut"
TPA-PM3-021,HARDENING,9,Release,Release readiness gate (QA + playtest remediations + launch artifacts handoff),P0,2,TPA-PM3-014|TPA-PM3-016|TPA-PM3-019|TPA-PM3-020,"Implementation readout, risk register, and handoff bundle","DoD checklist satisfied for implementation scope; remaining known issues triaged with owner/date"